Erfassungsdatum;Medium;Zaehlerstand
28.02.2019;GAS;9842.8
28.02.2019;STROM;425.0
28.02.2019;WASSER;593.9
30.04.2019;GAS;10201.7
30.04.2019;STROM;1040.0
30.04.2019;WASSER;10.1
30.06.2019;GAS;10386.5
30.06.2019;STROM;1563.0
30.06.2019;WASSER;37.7
30.09.2019;GAS;10480.9
30.09.2019;STROM;2163.0
30.09.2019;WASSER;73.8
30.11.2019;GAS;10868.2
30.11.2019;STROM;2675.0
30.11.2019;WASSER;95.8
31.01.2019;GAS;9488.7
31.01.2019;STROM;89166.0
31.01.2019;WASSER;584.6
31.03.2019;GAS;10088.0
31.03.2019;STROM;775.0
31.03.2019;WASSER;604.1
31.05.2019;GAS;10321.6
31.05.2019;STROM;1345.0
31.05.2019;WASSER;23.0
31.07.2019;GAS;10398.0
31.07.2019;STROM;1757.0
31.07.2019;WASSER;46.6
31.08.2019;GAS;10425.9
31.08.2019;STROM;1937.0
31.08.2019;WASSER;58.7
31.10.2019;GAS;10611.4
31.10.2019;STROM;2355.0
31.10.2019;WASSER;82.7
31.12.2019;GAS;11153.3
31.12.2019;STROM;2967.0
31.12.2019;WASSER;105.9
